Famille;Genre;Espece;code_sp;habitat;stratification;hygrophily;overwintering.stage;wing.type;breeding.season;diurnality;feeding.guild;Size;Piege;111_1_E;111_1_N;111_1_S;111_1_W;111_3_E;111_3_S;111_3_W;125_3_N;125_3_S;125_3_W;139_2_N;139_2_S;139_4_E;139_4_S;14_1_E;14_1_N;14_1_W;14_2_N;14_2_S;14_2_W;15_2_S;15_2_W;166_2_E;166_2_S;166_2_W;166_4_E;166_4_N;166_4_S;166_4_W;215_2_E;215_2_N;215_2_S;215_2_W;215_3_E;215_3_N;215_3_S;215_3_W;216_4_E;216_4_N;216_4_S;216_4_W;219_1_E;219_1_N;219_1_S;219_1_W;219_4_E;219_4_N;219_4_S;219_4_W;245_2_E;245_2_N;245_2_S;245_2_W;255_1_E;255_1_N;255_1_S;255_1_W;45_4_W;50_3_N;50_3_S;50_3_W;61_3_E;61_4_E;61_4_N;61_4_S;61_4_W;75_4_N;75_4_S
Carabidae;Carabus;intricatus;cait;woodland;epigeal;3;Imago;brachypter;spring;cathemeral;predator;30;cait;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1
Carabidae;Carabus;nemoralis;cane;openland;epigeal;4;Imago;brachypter;spring;night-active;predator;23;cane;6;5;17;3;4;3;10;0;0;0;0;1;0;0;3;4;0;3;3;0;2;2;3;1;7;5;1;3;7;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;23;9;8;31;5;2;0;2;0;2;0;0;0;7;12
Carabidae;Carabus;problematicus;capr;edge;epigeal;4;Imago;brachypter;autumn;night-active;predator;25;capr;3;1;2;6;2;0;1;1;3;8;1;10;2;1;1;1;0;2;5;1;2;0;3;0;2;7;7;0;1;7;8;2;1;2;4;8;5;4;1;1;4;2;3;3;5;4;7;7;2;1;5;9;1;0;1;1;6;3;3;2;0;0;0;2;0;0;2;4
Carabidae;Carabus;violaceus;cavi;generalist;epigeal;3.5;Imago;brachypter;summer;night-active;predator;28.5;cavi;8;18;33;11;31;27;18;8;12;16;2;11;4;3;6;4;1;0;1;2;6;0;4;6;5;6;4;6;6;5;5;9;12;14;6;8;1;2;20;14;14;26;7;20;22;15;16;21;6;7;21;22;12;2;4;2;0;1;7;0;1;0;0;0;1;0;5;3
Carabidae;Dyschiriodes;globosus;dygl;wetland;endogeal;4;Larva;dimorph;spring;night-active;predator;2.4;dygl;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Lebia;marginata;lema;edge;arboreal;3;Imago;macropter;spring;day-active;predator;4.5;lema;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Limodromus;assimilis;lias;woodland;epigeal;4;Imago;macropter;spring;night-active;predator;11;lias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Metallina;lampros;mela;openland;epigeal;3;Imago;dimorph;spring;day-active;predator;3.5;mela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Nebria;brevicollis;nebr;generalist;epigeal;4;Larva/Imago;macropter;autumn;night-active;predator;11.5;nebr;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Notiophilus;biguttatus;nobi;woodland;epigeal;4;Imago;dimorph;spring;day-active;predator;4.8;nobi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Carabidae;Notiophilus;rufipes;noru;edge;epigeal;2;Imago;macropter;spring;day-active;predator;5.3;noru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Platynus;livens;plli;wetland;epigeal;4;Imago;macropter;spring;night-active;predator;9;plli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Carabidae;Poecilus;cupreus;pocu;openland;epigeal;3;Imago;macropter;spring;day-active;mixed;11;pocu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Pterostichus;madidus;ptma;woodland;epigeal;3;Larva/Imago;dimorph;autumn;night-active;mixed;15.5;ptma;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Pterostichus;melanarius;ptme;openland;epigeal;4;Larva/Imago;dimorph;autumn;night-active;predator;15;ptme;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Carabidae;Pterostichus;niger;ptni;generalist;epigeal;4;Imago;dimorph;autumn;night-active;predator;18;ptni;0;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;18;1;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0
Carabidae;Pterostichus;oblongopunctatus;ptob;woodland;epigeal;4;Imago;dimorph;spring;night-active;predator;10.5;ptob;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Pterostichus;strenuus;ptst;generalist;epigeal;4;Imago;dimorph;spring;night-active;predator;6;ptst;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
